INPUT_1,INPUT_2
17.5,576.2
35.9,598.6
31.4,612.1
23.7,624.2
20.2,635.2
18.5,649
18.2,657
17.7,653.9
16.3,647.3
14.8,646.5
14.5,648.5
14.8,650.5
15.1,650.5
15.1,650.3
15.1,648.4
14.8,650
14.5,649.6
14.4,650.7
14.7,649.5
14.8,650.9
15.2,650.1
15.3,655
16.2,661.5
20.6,659
26.9,654.8
31.8,652.7
35.5,652.7
37.9,653.1
40.1,651.6
42.1,653.4
44.2,653.1
46.2,652
48,651.9
49.5,652.2
51.7,651.4
53.1,651
54.3,652.3
56,652.4
57.5,652.4
59.3,653.5
61.6,652.9
63.6,653.2
65.3,652
67.3,652.4
69.2,652.4
70.5,652.6
71.9,652.3
73.6,652.8
75.7,651.9
77.5,652
79.2,652.5
81,652.3
82.5,655
84.8,651.3
86.4,652.2
87.9,651.8
89.8,651.9
91.5,651.4
92.7,653.4
94.7,653.1
96.9,652.2
99.9,651.2
101.5,652
103.1,652.7
105.2,651.6
106.5,652.8
108.9,651.4
110.8,652.3
112,653.2
114,651.9
115.9,652.7
117.8,651
119.7,653.6
121.7,652.8
123.5,652.4
125.9,651.8
128,652.2
129.9,651.8
131.4,654.2
133.6,651.4
135.6,651.8
138,653.1
140.1,652.4
141.3,653.4
143.9,650.8
145.7,652.3
147.7,652.7
150.4,651.5
152.4,652.7
154.4,652.9
156,652.8
158.3,652.4
160.9,652.8
163.6,651.9
165.3,652
167.5,653.1
168.7,653.5
171.5,653.4
174.8,651.7
177.5,652.2
179.1,652.1
181,652.3
183.9,652
185.6,653.5
187.5,652.9
189.6,651.7
191.4,651.2
193.3,651.1
193.8,650.2
193.9,650.4
194.3,651.9
193.4,659.9
192.7,668.6
192.3,679.9
192.3,689.4
194.4,696.6
194.7,704.7
194.9,713.3
195.2,723.1
195.4,731.7
196.1,739.1
197.2,747.2
196.8,758.5
196.6,766.8
196.2,774.8
196.5,782.8
197.4,790.9
197.1,800.5
197,809.2
197,818
197.5,823.5
197.5,826.2
197.5,822.5
197.6,822.6
197.7,822
197.3,822.7
194.8,818.9
190.7,812.4
184.3,816.3
179.3,820.1
177.5,819.4
175.3,820.4
173.2,820.2
171.3,819.5
167.9,819.8
165.9,820.2
163.7,821.3
162.3,819.5
160.8,820
159.1,818.3
155.8,821
153.6,820.8
152.4,820
150.9,820.2
148.6,818.8
145.9,820.6
144.5,819.4
143.1,821
141.5,819
138.5,820.5
137.3,818.8
136.1,819.5
134.6,820.4
132.6,819.2
130.6,820.8
128.4,820.9
126.6,819.3
123.4,820.2
121.1,819.4
118.6,820
116.7,820.8
114.6,818.8
112.4,821.3
111.6,819.1
109.6,821.2
107.5,818.8
105.3,820.9
103.8,819.5
102,820.5
100.7,821.4
99.7,819
97.6,820.8
95.6,818.1
93.8,819.2
92.1,819.6
89.8,821.3
87.8,820.6
85.3,820.3
83.5,820.4
81.9,816.9
79.3,821.5
77.8,822
76.6,820.9
74.9,820.8
74.1,821
72.6,820.2
70.3,819.6
68.8,820
67.7,820.1
65.8,820.2
64.1,819.2
62.2,819.9
60.5,819.4
58.8,820.7
57.2,820.6
55.7,820.4
54.3,820.2
53,820.2
51.3,820.3
49.5,820.8
48,819.2
45.8,820.6
44.2,818.8
42.5,818.6
40.2,821.3
38.4,819.4
36.3,819
34.7,819.4
33.1,821.3
31.9,820.3
30.3,822.1
29.2,819.7
27.3,821.7
26,820
24.7,820.8
23.5,820.6
22.1,820.2
20.4,821.6
18.8,819.4
17.2,819.8
15.7,816.1
12.2,819.4
6.8,840.1
3.9,851.6
2.7,860.1
2,869.4
1.6,877.7
1.3,884.9
1.1,893.9
1,904
0.9,910
0.8,920.6
0.8,928.7
0.7,938
0.7,944.7
0.7,954.5
0.6,963.6
0.7,971.3
0.8,983.1
3.2,1000
8,1009.4
13,1003.4
16.7,998.7
18.9,999.7
21.1,997.9
23.2,996.8
25.2,998.6
27.4,999
29.7,998.6
32.2,999.6
34.9,1001.7
37.4,997
39.5,997.7
41.8,998
44.3,1000
46.9,997.8
49.1,997
51.2,997.2
53.2,998.3
55.7,998.1
58.4,1000
61.2,998.5
64.3,999.6
66.8,999
69,999
71.8,997.4
74.5,997.3
76.5,998.5
78.9,999.3
81.7,997.8
83.9,1000
86.7,999
89.7,998.7
91.6,1000
94.9,996.9
97.6,999.2
98.8,996.8
100.4,999
103.4,1000
107.2,997.4
109.2,1000
111.5,997.6
113.9,999.5
118.2,998.6
121.5,998.7
124.1,997
126.6,997.8
128.8,999.1
131.8,998.1
134.5,998.2
136.1,998.4
138.2,998.8
141.9,997.6
144.1,998
146,998.8
148.5,1000.1
151.6,998.8
155.4,996.8
157.1,997.8
158.5,999.2
161.6,998.2
164.2,997.6
166.7,998
170.2,997.2
172.5,999
175.7,998.3
179.1,997.8
181.8,997.8
183.7,998.1
185.2,998.9
189.9,997.3
193.3,997.8
193.8,996.9
195.2,997
197.8,996.6
201.2,999.3
203.2,999.8
206.1,997.5
209.3,998
211.9,997.9
215.2,999
219.4,998.4
221.2,998.6
222.1,998
224.9,998.8
228.5,999.9
233,998.9
235.9,998.1
237.7,996.9
239.7,997.8
243.2,999.1
246.3,999.2
247.6,998
249.1,997.7
252.1,998.2
254.6,998.9
259.2,998.1
260.5,996.7
261.8,997.2
262.9,997.9
266.7,999.5
270.4,1006
274.1,1012.3
278.5,1016.3
281.3,1025.1
283.2,1029.2
284.6,1035.4
288.6,1040
291.2,1044.8
293.5,1051.1
296.5,1060
300.2,1063.5
301.6,1067
302.9,1076.2
304.6,1082.9
308.1,1085.7
308.8,1091
310,1096.1
312.1,1101.4
314,1110.2
312.9,1110.8
308.9,1106.7
304.7,1103.4
302,1106.3
298.9,1107.9
296.7,1105.7
292.6,1106.6
288.9,1107
285.4,1105.4
283.2,1104.6
279.7,1105.4
276.1,1106.2
273.8,1104.6
269.5,1107.8
267.4,1103.8
264.8,1107
262.6,1106.6
258.9,1106.4
255.5,1106.2
252.8,1105.6
249.4,1106.2
246.5,1105.9
243.1,1105.8
240.2,1106.8
236.5,1106.2
232.5,1105.4
229.8,1105.2
226.7,1106.8
223.8,1106.5
220.9,1106.8
217.8,1105.2
214.9,1105.8
211.9,1107
208.9,1105.2
205.5,1107.8
201.5,1106
198.9,1106.4
197,1107.5
193.9,1105.7
189.9,1106.8
185,1108.7
180,1107.3
175.5,1104.5
170.6,1105.5
167.3,1107.2
164.3,1105.8
161.9,1105.4
159.5,1107.2
156.9,1106.3
154.1,1106.7
151.4,1106.7
148.1,1105.2
144.9,1106.1
143,1106.4
141.2,1106.5
137.7,1106.2
134.5,1105.1
131.9,1106.1
129.9,1105.9
126.7,1106.6
124.2,1106.4
121.7,1106.1
118.4,1104.8
116,1105.9
113.7,1106.9
110.7,1105.4
107.1,1106.1
104.2,1107
101.5,1107.8
99.4,1105.2
96.8,1103.9
93.7,1106.6
90.5,1106.6
88.3,1104.1
86,1106.3
83.6,1105.3
80.8,1105.9
78.3,1107
75.9,1106.3
73.4,1105.4
70.5,1106.1
67.3,1106.3
64.5,1106.1
62.4,1106.4
59.7,1104.3
56.7,1106.6
54,1107.1
51.7,1105.5
49.6,1104.9
46.9,1106.8
44,1105.3
41,1105.8
38.5,1105.1
36,1104.5
33.5,1105.3
31,1106.1
29,1107
27.1,1106.9
24.8,1106.5
22.1,1103.3
18.6,1098.6
11.8,1102.2
6.5,1118.3
4.2,1128.8
3,1136.6
2.4,1139.6
1.9,1145.7
1.5,1152.2
1.4,1156.3
1.2,1164.4
1.1,1170.1
1,1174.6
0.9,1180.3
0.8,1186.3
0.8,1193.3
0.7,1198.1
0.7,1203.1
0.6,1209.8
2.8,1226.2
9.9,1239.7
15,1230.4
17.6,1228
20.3,1231.1
23,1228.8
25.2,1229.1
27.7,1228.8
30.8,1232.1
34.3,1226.2
37,1230.9
39.7,1228.1
41.8,1229.5
45.5,1228.8
48.4,1229.9
51.5,1229
54.4,1230.6
58,1229.3
60.2,1228.1
63.1,1230.4
66.1,1228.5
68.9,1229.6
70.9,1229.3
73.8,1230.2
77.2,1228.3
79.5,1230
81.9,1228
84.9,1230.7
87.8,1228.1
90.5,1231.7
94,1226.5
96.2,1231.5
99.6,1228
102.7,1230.7
106.5,1226.1
108.9,1229
112,1230.3
115.2,1230.3
117.9,1230.3
120.9,1228.5
123.8,1229
125.4,1230.6
129.7,1228.2
133.2,1229.5
135.9,1233.4
139.3,1224.8
141.8,1231.7
145.6,1226
147.6,1233.6
150.4,1226
153.2,1230.8
157,1225.4
159.6,1230.9
162,1227
163.9,1230.2
166.4,1227.2
169.4,1231.2
172.8,1227.5
176.3,1226.8
179.6,1229.9
183.1,1228.5
185.4,1230.2
188.2,1227.4
190.5,1231
194.2,1227.8
196.7,1231.6
200.4,1225.5
202.9,1231.9
206,1226.3
207.9,1230.4
211.7,1226
214.6,1233
218.1,1225.3
220.7,1232.2
222.9,1226
226.2,1228.3
229.3,1232
232.6,1227.2
234.4,1228.8
238.2,1228.1
240.9,1231.7
243.8,1227.1
246.8,1232
250.5,1224.2
254.6,1232.7
257.4,1227.9
260,1230.3
262.6,1227
266,1231.5
268.3,1227.5
271.4,1229.1
273.6,1228
277.1,1228.5
280.6,1230.2
284.4,1228.5
286.5,1230
289.6,1226.5
292.7,1232.3
297.5,1226.7
300.1,1232.2
304.2,1225.8
305.3,1233.1
307.3,1225.2
307,1233.8
306.7,1236.2
307.2,1244.8
306.4,1252.3
306.9,1255.1
306.5,1261.1
307.5,1267.8
308,1271.1
307.4,1279.5
307.3,1283.8
307,1290.5
306.2,1297.8
307.1,1301.8
307.7,1307.4
307.4,1312.9
307.6,1317.9
307.1,1325.6
306.8,1332.4
306,1338.4
305.3,1337
301,1336.3
297.7,1335.3
293,1336.5
290.7,1334.1
287.8,1336.4
285.1,1336.3
281.5,1336.4
278.5,1336.3
274.6,1337.1
271.5,1333.3
267.9,1336.8
265.1,1335.6
261.6,1335.4
259.5,1336.7
256.2,1335.3
252.5,1336
250.5,1336.4
247.3,1335.8
243.5,1336.2
240.5,1337.6
237.6,1336.8
233.8,1336.4
231.1,1336.1
228.6,1336.6
225.5,1336.7
222.3,1335.5
219.4,1336.7
217.3,1337.1
213.7,1336.6
211.1,1333.2
207.9,1336.6
205.7,1336.3
202.5,1334.8
199.7,1336.2
196.7,1336.8
194.8,1335
191.2,1336
188.3,1336.1
185.6,1336.7
182.5,1335.9
180.1,1335.2
177.6,1336.9
174.9,1336.4
172.3,1336
169.5,1336
167.4,1336
164.7,1336.6
161.6,1336.6
158.8,1335.8
156.3,1336.7
153.9,1332.2
152.3,1333.5
149.5,1337.1
147,1338.5
143.9,1335.6
140.9,1336.1
137.9,1335.5
134.5,1335.6
131.6,1335.3
128.6,1335.8
126.4,1336.4
123.2,1335.7
120.1,1336.2
117.7,1333.6
115.2,1336.6
112.6,1335
110,1337
107,1335.8
104.4,1336.2
102.2,1337.1
99.2,1336
95.7,1334.6
93.1,1335.8
90.4,1336.6
87.2,1336.3
83.5,1336.2
80.9,1335.5
78.8,1336.6
76.3,1336.6
74,1336.2
71.5,1335.6
68.7,1334.7
66.1,1335
63.4,1336.6
60.9,1336.6
57.9,1335.6
54.7,1334.2
52.1,1336.4
50,1336.2
47.4,1335.8
44.1,1335.6
41.1,1334.4
38.4,1336.6
36,1335.6
33.5,1336.4
31.3,1336
28.5,1334.7
25.8,1335.4
23.3,1334.8
18.9,1328.1
11.1,1328.7
6,1348.3
4.1,1358.6
2.9,1366
2.3,1369.6
1.9,1375.8
1.6,1383.4
1.4,1386.3
1.3,1391.8
1.1,1400
1.1,1405.1
1,1411.3
1,1415.4
1,1421.9
0.9,1427.9
0.9,1433.7
1,1439.8
4.8,1458.5
12.7,1470.7
17.2,1460
20,1461.7
22.7,1460.3
25.3,1459.8
27.8,1456.7
30.7,1459.2
33.7,1459.6
36.6,1459.5
39.5,1458.7
42,1457
44,1460.5
46.8,1459
49.9,1458.7
53.4,1460.1
56.7,1458.9
59.4,1458.8
62,1459.1
64.9,1459.4
67.4,1460
69.9,1459.7
72.4,1459.8
75.4,1457.1
78.3,1459.9
81.7,1458.1
84.4,1458.5
86.1,1459.8
89.1,1458.9
92.3,1459.2
95.3,1458.2
97.6,1457.4
100.2,1459
103.7,1459.3
106.6,1459
109.2,1460.3
111.5,1458
113.4,1460.1
116.2,1459.3
119.5,1458.6
121.9,1458.1
125,1459.9
128.1,1460
130.9,1459.1
132.8,1459.7
135.6,1458.8
138.6,1458.8
142.3,1459.8
144.8,1459
147.6,1458.8
150.6,1460.1
154,1459.4
156.6,1460.2
159.3,1458
161.4,1461.9
164,1462.4
167.1,1454.9
169.2,1457.5
171.9,1459.4
174.1,1457.9
177,1459.6
180.4,1456.7
183.1,1459.8
186.1,1458.9
189.6,1459.8
192.5,1459.7
195.4,1457.7
196.9,1458.8
199.7,1458.8
202.8,1459.8
206.3,1460.1
208.8,1458.7
211.7,1459.9
214,1459.1
218.1,1457.8
220.9,1458.1
223.8,1457.9
225.6,1459.9
229.3,1457.4
232.3,1457.4
235.2,1458.9
237.6,1460.1
240.9,1457.9
243.8,1459.7
247.5,1459.1
250.1,1459.5
253.2,1459
256.4,1458.7
259.5,1460.1
262.7,1459
266.5,1459.6
269.6,1460.3
273.8,1457.4
276.5,1459.1
279.2,1459.9
283.1,1458.9
288,1458.1
291.5,1458.9
294.7,1457.6
298.5,1458.8
302.3,1458.8
306.1,1458.8
307.5,1458.8
306,1460.5
306.2,1465.7
306.1,1475.5
305.4,1478.3
305.1,1483.2
304.7,1492.3
304.8,1495
303.1,1502.6
302.3,1508.1
302.8,1513
303,1518.7
301.4,1528.1
300.6,1532.2
301.6,1534.6
299.5,1544.5
299,1548.1
299.6,1552.6
299,1562
298.8,1564.4
296.4,1571.3
292.7,1565.6
288.7,1565.2
285.1,1567.6
284.3,1565
281.4,1566.7
277.4,1564.9
273.1,1566.5
270.5,1566.1
267.5,1568.8
263.5,1566.4
259.9,1565.9
256.7,1567
253.3,1565.2
248.9,1566.8
246.1,1565.9
243.3,1565.9
240.8,1566.2
237.2,1568
233.5,1567.1
231.6,1565.5
228.7,1563.8
225,1566.7
221.7,1566.4
218.7,1566.3
216.4,1566
213,1565.9
210.2,1566.1
207,1566
204.4,1565.3
201,1566.7
198.6,1565.2
195.5,1568
193.2,1565
190.1,1565
187.8,1566.1
184.9,1566
182.4,1566.1
179.5,1567.1
176.4,1564.8
173.8,1566.5
171.6,1565.9
169.1,1566.5
166.1,1564.7
163.3,1564.4
160,1566.8
157.5,1566
155.4,1566.4
152.4,1566
149.4,1566.8
146.9,1565.2
144.8,1566.2
142.7,1566.1
140.1,1566.9
137.6,1566.8
134.9,1565.5
132.5,1566.9
130.3,1566.5
127.5,1565.7
124.6,1566.3
122.8,1566
119.9,1565
116.9,1565.6
114.1,1566
112,1566.3
109.5,1565.7
107.6,1566
105.4,1565.6
102.3,1565.3
99.4,1566.4
97.7,1566.7
95.1,1566.4
92.5,1565.6
90.1,1566
87.1,1566.7
84.7,1566
82.9,1566.8
80.5,1566.3
77.4,1565.7
74.5,1565.6
72.1,1566
69.9,1566.1
67.3,1565.6
64.7,1566.4
62.3,1566.1
59.9,1566.1
57.4,1566.9
54.9,1567.2
52.7,1566.4
50.1,1566.8
47.6,1565.2
45.1,1565.7
42.3,1565.5
39.6,1565.7
37.2,1565.2
35,1566.3
32.8,1566.8
30.4,1565.2
27.7,1565.7
25.2,1566
19.9,1558.4
11.2,1555.1
6.1,1577.5
4.2,1587.6
3.1,1596
2.4,1597.7
1.9,1607.6
1.6,1612.3
1.4,1615.9
1.2,1625.9
1.1,1629
1,1634
0.9,1642.8
0.9,1646
0.9,1651.6
0.8,1658
0.8,1661.1
1.2,1673.4
7.6,1691.1
16.9,1706.1
20.4,1689.3
22.9,1690.8
26.1,1690.5
28.6,1687
30.2,1685.6
32.2,1686
35.3,1692
39.3,1690
42.8,1690.2
45.4,1689.4
47.1,1685.1
48.4,1688.2
50.6,1688.3
54,1687.4
57.2,1691.2
61.1,1688.8
62.9,1685.7
64,1689.5
65.6,1688.5
68.2,1690.6
72.1,1692.4
75.8,1689.8
78.1,1685.7
79.9,1688
80.9,1687
82.8,1686
86,1690.2
89,1690.8
91.8,1690.5
94.7,1689.9
97,1689.3
98.7,1689.2
100.8,1687.4
103.2,1690.2
106.1,1689.6
109.1,1690.5
111.4,1689.8
112.9,1687.7
115.1,1689.4
117.6,1687.8
120.8,1688.7
124.1,1690.5
127,1690.1
129.3,1687.4
131.1,1690.2
133.2,1687.7
135.2,1685.3
137,1689
140.3,1687.7
143.5,1692.9
146.8,1685.6
148.5,1688.9
150.4,1692.9
152.6,1682.4
154.8,1685.5
158,1688.9
160.8,1690.1
162.9,1693
165.6,1689.3
167.6,1690.9
169.9,1686
172.4,1690.6
175.5,1688.9
178.6,1692.4
181.5,1690.2
184.5,1683.2
186.5,1687.6
189.4,1687.8
191.1,1687.8
193.5,1689.9
196.5,1688.9
200.2,1690.5
203.9,1689.7
206.3,1686.2
207.2,1690.1
210.7,1683
214.6,1686.2
217.6,1691.6
220.2,1691.7
222.9,1688.6
226.9,1686.1
229.9,1687.9
232.4,1691.7
235.5,1687.1
237.1,1689.1
239.5,1689.8
242.9,1690.6
247.3,1689.1
251.6,1688.6
255,1690.5
257.6,1687.6
259.9,1685.4
262.5,1689.1
266,1689.7
270.3,1689.8
274.7,1690.9
280,1690.4
282.8,1687.6
285.6,1687.6
287.2,1685.6
288.3,1687.3
287.6,1691.2
288.1,1695
286.5,1703.2
286.1,1707.5
284.6,1714.7
283.4,1719.8
283.7,1722.8
282.5,1732.4
281.7,1739.5
281.1,1743.2
280.4,1752.2
280.2,1755.4
280.2,1756.8
278.7,1768.2
278.7,1772.5
278,1778.5
277,1784.5
276.3,1787.6
275.4,1795.4
272.2,1801.4
269.3,1796
264.6,1796.3
260.4,1798.3
256.6,1796.3
254.2,1794.2
251.2,1800.1
248.5,1799.1
245.6,1795
242.6,1794.5
239.3,1796.1
236.5,1797.5
234.7,1794.8
231.8,1796.6
228.9,1794.9
225.4,1798.8
222.6,1796.8
219.8,1796.9
216.7,1796
213.9,1796.7
211.1,1796.3
209,1796.5
206.8,1793.6
203.4,1797.7
199.7,1796.8
196.6,1798.7
194.6,1796.8
192.5,1795.2
189.6,1796.7
187.4,1794.4
184.3,1793.2
182.2,1795.7
179.9,1801.8
177.4,1797.7
174.1,1797.6
170.4,1798
168,1794.6
165.6,1796.6
164,1794.1
161,1796.3
158.5,1796.3
155.6,1796.3
153.8,1795.7
151.1,1798.1
148.9,1796.1
147,1794
143.9,1796.6
141.4,1796.9
139.6,1793
137.1,1796.5
134.5,1798.4
132.1,1796.4
129.5,1797.9
127.2,1795.7
124.6,1797.9
122.7,1796
120.5,1798
118.7,1793.7
116.3,1796.3
113.9,1798.4
111.5,1796.3
109.4,1799.8
107.3,1796.4
105.2,1796.3
103,1794.3
100.6,1796.3
98,1796.2
96.6,1796.9
94,1795.7
91.7,1794
88.9,1798.5
87,1799.4
85.1,1795.2
83,1796
80.9,1796
79,1798.3
76.9,1796
74.6,1794.5
72,1795.7
69.7,1796.2
67.6,1796.4
65.7,1796.6
63.5,1795.8
61.5,1797.9
59.3,1797.7
57.4,1798
55,1796
52.6,1794.2
49.9,1796.3
47.8,1796.6
45.5,1796.3
43.5,1796
41.6,1796.6
39.2,1797.6
37.3,1794.5
35.5,1798.2
33.7,1796.4
31.5,1795.8
29,1796
26.8,1796.7
25.1,1796.9
24.4,1771.4
23.7,1541.2
21.8,1273.1
21.1,1039
22.9,828.5
24.2,703.5
22.9,654.3
22.8,658.1
